observation_id,git_revision,min_support,repeat_index,k,source,generated,pruned,evaluated,frequent,pruning_ratio
OBS-00028,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,8,6,join_prune,6,0,6,6,0.000000
OBS-00029,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,9,1,singleton_scan,119,0,119,21,0.000000
OBS-00029,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,9,2,join_prune,210,0,210,97,0.000000
OBS-00029,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,9,3,join_prune,321,106,215,185,0.330218
OBS-00029,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,9,4,join_prune,305,119,186,170,0.390164
OBS-00029,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,9,5,join_prune,130,52,78,76,0.400000
OBS-00029,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,9,6,join_prune,18,3,15,15,0.166667
OBS-00029,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,9,7,join_prune,1,0,1,1,0.000000
OBS-00030,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,3,1,singleton_scan,119,0,119,21,0.000000
OBS-00030,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,3,2,join_prune,210,0,210,97,0.000000
OBS-00030,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,3,3,join_prune,321,106,215,185,0.330218
OBS-00030,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,3,4,join_prune,305,119,186,170,0.390164
OBS-00030,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,3,5,join_prune,130,52,78,76,0.400000
OBS-00030,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,3,6,join_prune,18,3,15,15,0.166667
OBS-00030,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.4,3,7,join_prune,1,0,1,1,0.000000
OBS-00031,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,9,1,singleton_scan,119,0,119,18,0.000000
OBS-00031,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,9,2,join_prune,153,0,153,67,0.000000
OBS-00031,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,9,3,join_prune,175,60,115,110,0.342857
OBS-00031,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,9,4,join_prune,139,43,96,91,0.309353
OBS-00031,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,9,5,join_prune,49,12,37,37,0.244898
OBS-00031,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,9,6,join_prune,6,0,6,6,0.000000
OBS-00032,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,8,1,singleton_scan,119,0,119,24,0.000000
OBS-00032,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,8,2,join_prune,276,0,276,131,0.000000
OBS-00032,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,8,3,join_prune,563,208,355,310,0.369449
OBS-00032,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,8,4,join_prune,649,243,406,379,0.374422
OBS-00032,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,8,5,join_prune,390,134,256,250,0.343590
OBS-00032,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,8,6,join_prune,118,34,84,84,0.288136
OBS-00032,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,8,7,join_prune,16,5,11,11,0.312500
OBS-00033,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,6,1,singleton_scan,119,0,119,8,0.000000
OBS-00033,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,6,2,join_prune,28,0,28,18,0.000000
OBS-00033,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,6,3,join_prune,23,4,19,17,0.173913
OBS-00033,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,6,4,join_prune,13,6,7,7,0.461538
OBS-00033,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.6,6,5,join_prune,2,1,1,1,0.500000
OBS-00034,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,2,1,singleton_scan,119,0,119,24,0.000000
OBS-00034,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,2,2,join_prune,276,0,276,131,0.000000
OBS-00034,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,2,3,join_prune,563,208,355,310,0.369449
OBS-00034,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,2,4,join_prune,649,243,406,379,0.374422
OBS-00034,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,2,5,join_prune,390,134,256,250,0.343590
OBS-00034,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,2,6,join_prune,118,34,84,84,0.288136
OBS-00034,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.35,2,7,join_prune,16,5,11,11,0.312500
OBS-00035,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,10,1,singleton_scan,119,0,119,18,0.000000
OBS-00035,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,10,2,join_prune,153,0,153,67,0.000000
OBS-00035,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,10,3,join_prune,175,60,115,110,0.342857
OBS-00035,fd318b3ca0d3829c0849ee2a5ef783caaae72fdb,0.45,10,4,join_prune,139,43,96,91,0.309353
